"","skeleton_id","neuron_name","Class 1","Class 2","Merge Class","is_pdiff","is_usplit","is_LNpre","is_brain","Hemisphere","Pair","Pair ID","lineage","dendrite_input","axon_input","Class4"
"1"," 3486867","(130729_SFO Cand 42a-42b_OSN_IN1 left) [*BAmas12_dor_l akira] #3486867","Unk","","Unk","FALSE","FALSE","FALSE","TRUE","L"," 5478818","  38","BAmas12_dor"," 176"," 15",NA
"2"," 5478818","(130729_SFO Cand 42a-42b_OSN_IN1 right) [*BAmas12_dor_r akira] #5478818","O_dSEZ","","O_dSEZ","FALSE","FALSE","FALSE","TRUE","R"," 3486867","  38","BAmas12_dor"," 174"," 22",NA
"3"," 7527710","(13a ORN left) [] #7527710","sens","ORN","sens-ORN","FALSE","FALSE","FALSE","FALSE","L"," 4073353","1081","unk","   0"," 56",NA
"4"," 4073353","(13a ORN right) [] #4073353","sens","ORN","sens-ORN","FALSE","FALSE","FALSE","FALSE","R"," 7527710","1081","unk","   0"," 79",NA
"5"," 2611805","(1a ORN left) [] #2611805","sens","ORN","sens-ORN","FALSE","FALSE","FALSE","FALSE","L"," 2582391","1082","unk","   0"," 38",NA
"6"," 2582391","(1a ORN right) [] #2582391","sens","ORN","sens-ORN","FALSE","FALSE","FALSE","FALSE","R"," 2611805","1082","unk","   0"," 39",NA
"7","   40045","(22c ORN left) [] #40045","sens","ORN","sens-ORN","FALSE","FALSE","FALSE","FALSE","L"," 3954014","1083","unk","   0"," 39",NA
"8"," 3954014","(22c ORN right) [] #3954014","sens","ORN","sens-ORN","FALSE","FALSE","FALSE","FALSE","R","   40045","1083","unk","   0"," 47",NA
"9"," 3592997","(24a ORN left) [] #3592997","sens","ORN","sens-ORN","FALSE","FALSE","FALSE","FALSE","L"," 3865952","1084","unk","   0"," 71",NA
"10"," 3865952","(24a ORN right) [] #3865952","sens","ORN","sens-ORN","FALSE","FALSE","FALSE","FALSE","R"," 3592997","1084","unk","   0"," 72",NA
"11"," 3768025","(30a ORN left) [] #3768025","sens","ORN","sens-ORN","FALSE","FALSE","FALSE","FALSE","L"," 2584838","1085","unk","   0"," 14",NA
